grader_type,sigma,rbf_score,accuracy,spearman
correlation_70pct,0.1,34.0,0.34,0.6686020927568618
correlation_60pct,0.1,36.0,0.36,0.5487356774664333
accuracy_80pct,0.1,83.0,0.83,0.835794711834301
accuracy_70pct,0.1,77.0,0.77,0.6480459897751387
accuracy_60pct,0.1,69.0,0.69,0.6711595965401992
correlation_70pct,0.1,43.0,0.43,0.602517090026638
correlation_60pct,0.1,30.0,0.3,0.4271997141025778
accuracy_80pct,0.1,86.0,0.86,0.7962147550641661
accuracy_70pct,0.1,77.0,0.77,0.7181846047085152
accuracy_60pct,0.1,66.0,0.66,0.42165126693182114
correlation_70pct,0.1,42.0,0.42,0.6965866367106082
correlation_60pct,0.1,40.0,0.4,0.5645993515176845
accuracy_80pct,0.1,83.0,0.83,0.7899789405520891
accuracy_70pct,0.1,74.0,0.74,0.6705351425793987
accuracy_60pct,0.1,72.0,0.72,0.7210916700246136
correlation_70pct,0.1,37.0,0.37,0.6709476241382859
correlation_60pct,0.1,37.0,0.37,0.6109583314572034
accuracy_80pct,0.1,86.0,0.86,0.758067402405751
accuracy_70pct,0.1,77.0,0.77,0.6382881205906997
accuracy_60pct,0.1,69.0,0.69,0.5754181191492695
correlation_70pct,0.1,41.0,0.41,0.5832418277759167
correlation_60pct,0.1,38.0,0.38,0.6372638232013146
accuracy_80pct,0.1,84.0,0.84,0.798834543698946
accuracy_70pct,0.1,77.0,0.77,0.6729516484225236
accuracy_60pct,0.1,68.0,0.68,0.5945363091133016
correlation_70pct,0.1,42.0,0.42,0.5945725234475466
correlation_60pct,0.1,34.0,0.34,0.49845322836501244
accuracy_80pct,0.1,84.0,0.84,0.8140213970618068
accuracy_70pct,0.1,71.0,0.71,0.6406476210447573
accuracy_60pct,0.1,67.0,0.67,0.4996769744842289
correlation_70pct,0.1,37.0,0.37,0.6765293254424204
correlation_60pct,0.1,39.0,0.39,0.6520452651148136
accuracy_80pct,0.1,90.0,0.9,0.8876422020472139
accuracy_70pct,0.1,78.0,0.78,0.7327625156132981
accuracy_60pct,0.1,69.0,0.69,0.5455179663132419
correlation_70pct,0.1,44.0,0.44,0.6647267586498757
correlation_60pct,0.1,35.0,0.35,0.44625882183923715
accuracy_80pct,0.1,83.0,0.83,0.8833886385319656
accuracy_70pct,0.1,79.0,0.79,0.8128368402092786
accuracy_60pct,0.1,71.0,0.71,0.515059923991727
correlation_70pct,0.1,40.0,0.4,0.6760754595197856
correlation_60pct,0.1,32.0,0.32,0.480041126171275
accuracy_80pct,0.1,84.0,0.84,0.8417703180364552
accuracy_70pct,0.1,80.0,0.8,0.7422307425032973
accuracy_60pct,0.1,66.0,0.66,0.5628283677540019
correlation_70pct,0.1,35.0,0.35,0.5822616442175235
correlation_60pct,0.1,36.0,0.36,0.5197195510313184
accuracy_80pct,0.1,85.0,0.85,0.8490189964932944
accuracy_70pct,0.1,77.0,0.77,0.6434864484190062
accuracy_60pct,0.1,66.0,0.66,0.5433579092285344
correlation_70pct,0.1,37.0,0.37,0.5704486300795708
correlation_60pct,0.1,31.0,0.31,0.5322336946208307
accuracy_80pct,0.1,85.0,0.85,0.806542711734495
accuracy_70pct,0.1,81.0,0.81,0.7914930664430364
accuracy_60pct,0.1,68.0,0.68,0.6863856405084341
correlation_70pct,0.1,40.0,0.4,0.5899422417460083
correlation_60pct,0.1,40.0,0.4,0.5580718636255765
accuracy_80pct,0.1,85.0,0.85,0.7681656216917562
