simulation,grader_type,rbf_score,accuracy,spearman
27,accuracy_60pct,75.6739443255267,0.69,0.6405450239224062
27,correlation_70pct,54.680665725830735,0.34,0.5643253608727733
27,correlation_60pct,51.63613818328534,0.33,0.49593103860634175
28,accuracy_80pct,86.92070623972448,0.85,0.7927026647996674
28,accuracy_70pct,81.82106573009122,0.77,0.7764828768646007
28,accuracy_60pct,75.90556785339979,0.71,0.6669622795317705
28,correlation_70pct,60.453412810034514,0.43,0.6798189094613851
28,correlation_60pct,51.86776171115843,0.35,0.5433086772521011
29,accuracy_80pct,84.96849524234962,0.82,0.6917190697531485
29,accuracy_70pct,83.06641054696878,0.79,0.6861058861722438
29,accuracy_60pct,76.83825380311926,0.72,0.6137110303879024
29,correlation_70pct,57.04854018145592,0.42,0.5964531560521801
29,correlation_60pct,52.21132961560747,0.35,0.4659422933804352
30,accuracy_80pct,84.3791719543207,0.81,0.7180355551498542
30,accuracy_70pct,82.41008115398243,0.78,0.6759683464238955
30,accuracy_60pct,71.64354871987348,0.66,0.5637629622167634
30,correlation_70pct,52.73120267571248,0.32,0.6702594647910819
30,correlation_60pct,53.459627622500115,0.38,0.4840220705716451
31,accuracy_80pct,87.01577081333703,0.83,0.7479679823650508
31,accuracy_70pct,84.4267555518166,0.8,0.767935269848335
31,accuracy_60pct,77.49468581748485,0.73,0.6273745015427288
31,correlation_70pct,60.04548412650543,0.44,0.5768363465939602
31,correlation_60pct,55.34462727215908,0.41,0.465623470758364
32,accuracy_80pct,86.35954404172992,0.82,0.7589691831644743
32,accuracy_70pct,79.39656527010722,0.76,0.6084478688142152
32,accuracy_60pct,81.15070710277733,0.77,0.7712555636404328
32,correlation_70pct,60.093067724001315,0.43,0.603728986834485
32,correlation_60pct,56.487377983461336,0.39,0.5104350480820876
33,accuracy_80pct,87.67210020632338,0.84,0.8204767861623048
33,accuracy_70pct,78.1341354075078,0.74,0.6622650474031827
33,accuracy_60pct,76.96697536127937,0.7,0.7062833110262232
33,correlation_70pct,60.45341281003452,0.43,0.6647115438841419
33,correlation_60pct,47.81275152782057,0.26,0.49375633436082256
34,accuracy_80pct,86.68908271185138,0.83,0.814631154204432
34,accuracy_70pct,79.51115497256055,0.75,0.7096892188844892
34,accuracy_60pct,75.00073512957695,0.68,0.6032681594528542
34,correlation_70pct,61.603795674678764,0.47,0.589772334167941
34,correlation_60pct,54.55194416767063,0.36,0.5171208481336028
35,accuracy_80pct,86.31175520147555,0.83,0.7749432800453891
35,accuracy_70pct,78.23215317113542,0.73,0.726303638876387
35,accuracy_60pct,75.28279282358179,0.7,0.6593607304560947
35,correlation_70pct,57.5348588783926,0.39,0.6863164068447751
35,correlation_60pct,50.29267298140093,0.32,0.5088169100265401
36,accuracy_80pct,85.34561750996697,0.82,0.7891896708502244
36,accuracy_70pct,82.70901865095067,0.8,0.7535618796567293
36,accuracy_60pct,71.95345963977492,0.66,0.4894702433289321
36,correlation_70pct,62.69886016710592,0.46,0.6768807567886923
36,correlation_60pct,56.4733487491338,0.4,0.5651075934758755
37,accuracy_80pct,87.68898000928678,0.84,0.8289869086584718
37,accuracy_70pct,84.39320118864825,0.8,0.7345807473551339
37,accuracy_60pct,74.34715368384724,0.68,0.6715039249404527
37,correlation_70pct,59.045586829070054,0.43,0.5532042718479525
37,correlation_60pct,55.71910421389906,0.4,0.4386931118876535
38,accuracy_80pct,87.6413964117909,0.85,0.8192042680153891
38,accuracy_70pct,77.85503090351804,0.73,0.6694868069057923
38,accuracy_60pct,75.54237219873073,0.7,0.5410455058389995
38,correlation_70pct,63.274051599428034,0.48,0.6771455871727099
38,correlation_60pct,61.684933635343,0.46,0.5959086399331521
39,accuracy_80pct,89.65511761960995,0.86,0.8692644489888852
39,accuracy_70pct,81.08349575506142,0.77,0.6826632528777767
39,accuracy_60pct,75.86916292159559,0.7,0.5835066011784765
39,correlation_70pct,56.95966744607047,0.37,0.715538755216459
39,correlation_60pct,57.344524488409064,0.43,0.5686916298560829
40,accuracy_80pct,84.95171806076544,0.82,0.7181152416529473
40,accuracy_70pct,81.14785653414148,0.76,0.7324894357948556
40,accuracy_60pct,76.65431649412129,0.69,0.686958760867466
40,correlation_70pct,64.22636529936754,0.5,0.7280130625064284
40,correlation_60pct,54.521137751758914,0.37,0.5162774035243214
41,accuracy_80pct,89.59085946190913,0.87,0.8396616864319222
41,accuracy_70pct,84.75364889606068,0.8,0.7713215979418429
41,accuracy_60pct,76.5114630802544,0.72,0.6250617461799362
41,correlation_70pct,64.61751680131245,0.49,0.6780990479028288
41,correlation_60pct,55.73862934273984,0.41,0.5955219389008631
42,accuracy_80pct,86.57439038801883,0.84,0.7526796177209452
42,accuracy_70pct,78.44425157016774,0.74,0.6467386523410391
42,accuracy_60pct,77.46092621155803,0.73,0.6070724735472803
42,correlation_70pct,56.17736444218065,0.39,0.634132400766158
42,correlation_60pct,54.49033133584721,0.38,0.5622616111273722
43,accuracy_80pct,86.62451669001287,0.84,0.7027533439028453
43,accuracy_70pct,79.16483912085488,0.74,0.6528981702846108
43,accuracy_60pct,77.57582377814907,0.72,0.6145696284448404
43,correlation_70pct,63.55325872479702,0.49,0.5805122786926614
43,correlation_60pct,62.66805375119419,0.47,0.6685365720830434
44,accuracy_80pct,84.65837907968968,0.82,0.7614223005440306
44,accuracy_70pct,83.08064502405479,0.78,0.7325394406302516
44,accuracy_60pct,74.16799795955536,0.7,0.5462446662277087
44,correlation_70pct,61.603795674678764,0.47,0.6864371261767652
44,correlation_60pct,50.61946370426579,0.32,0.5197715190829786
45,accuracy_80pct,84.72284248014897,0.81,0.7640115001930715
45,accuracy_70pct,80.79015677398564,0.77,0.684653070615925
45,accuracy_60pct,73.29967278891596,0.68,0.5675149611991857
45,correlation_70pct,58.7187961062052,0.43,0.5688858008503453
45,correlation_60pct,59.453515512599125,0.42,0.6674322481144811
46,accuracy_80pct,87.28105132575769,0.85,0.7916187883709206
46,accuracy_70pct,78.79046480049414,0.75,0.5815695028960854
46,accuracy_60pct,75.70454549867993,0.68,0.649645966064408
46,correlation_70pct,59.35834831760737,0.44,0.6655582199527745
46,correlation_60pct,53.88158554035674,0.36,0.5140958220738501
47,accuracy_80pct,87.67210020632336,0.84,0.8130189550803694
47,accuracy_70pct,80.7707342665241,0.76,0.6660915292794342
47,accuracy_60pct,73.69082429086087,0.67,0.6247847931138665
47,correlation_70pct,51.13933676437081,0.29,0.6277542865955679
47,correlation_60pct,58.000853881395415,0.44,0.6166892149913548
48,accuracy_80pct,88.60763672467868,0.86,0.8579299351349161
48,accuracy_70pct,75.7573211663989,0.72,0.6372869271847376
48,accuracy_60pct,71.23256422495005,0.66,0.5181861321449334
48,correlation_70pct,52.75296668476125,0.37,0.5391189922188332
48,correlation_60pct,52.58570393596822,0.34,0.6018457716546748
49,accuracy_80pct,87.83946557649566,0.87,0.7237767218254142
49,accuracy_70pct,81.7230479664636,0.78,0.6156646693569511
49,accuracy_60pct,75.31085129223688,0.68,0.6169991413081317
49,correlation_70pct,64.20958811778337,0.5,0.6603245086249894
49,correlation_60pct,47.622519759216274,0.3,0.4407404169193308
50,accuracy_80pct,85.6414991955409,0.83,0.7745562477364739
50,accuracy_70pct,83.73972236429778,0.8,0.8101717383504812
50,accuracy_60pct,76.26306237079713,0.7,0.6866758898475623
50,correlation_70pct,59.04558682907005,0.43,0.6586380946868036
50,correlation_60pct,52.850881827009644,0.36,0.5965490416558282
51,accuracy_80pct,86.36229198898654,0.83,0.7857346075679575
51,accuracy_70pct,84.03265085985657,0.8,0.6062577889414368
51,accuracy_60pct,77.16504452598413,0.72,0.6297762746690734
51,correlation_70pct,58.12682749229889,0.41,0.5847780616575318
51,correlation_60pct,51.32337669474803,0.32,0.5714651432510819
52,accuracy_80pct,88.6076367246787,0.86,0.8036436641746586
52,accuracy_70pct,81.08359837644065,0.77,0.699979454800527
52,accuracy_60pct,72.42859967101992,0.65,0.6537212654474045
52,correlation_70pct,60.637452740411725,0.46,0.6118989347964925
52,correlation_60pct,53.819972708533314,0.38,0.552264824809991
53,accuracy_80pct,86.60794475118718,0.84,0.8179780563419121
53,accuracy_70pct,79.0359123199363,0.76,0.5991487300311941
53,accuracy_60pct,73.91959725009811,0.68,0.5948956796325925
53,correlation_70pct,52.442953143480565,0.37,0.5505920625831054
53,correlation_60pct,57.01498581828758,0.42,0.5675063456767123
54,accuracy_80pct,86.47912057164783,0.86,0.6997639075023818
54,accuracy_70pct,80.47760052820682,0.76,0.6991260318729422
54,accuracy_60pct,79.4607208064288,0.75,0.6719216090083837
54,correlation_70pct,59.73272263796812,0.43,0.6431931716227637
54,correlation_60pct,56.39221078846957,0.41,0.5866062405975404
55,accuracy_80pct,87.34541210483773,0.84,0.7956961523489204
55,accuracy_70pct,82.13382721862854,0.78,0.7534215900943066
55,accuracy_60pct,75.00073512957695,0.68,0.6237630973210939
55,correlation_70pct,64.77704477538427,0.46,0.7608522204684146
55,correlation_60pct,58.04558691025542,0.42,0.5687320787449175
56,accuracy_80pct,88.57397974013111,0.86,0.7383905146522276
56,accuracy_70pct,83.10017015289559,0.79,0.7079739628002635
56,accuracy_60pct,77.36301106930964,0.74,0.4302738575259447
56,correlation_70pct,59.14075402406181,0.41,0.6009553276106046
56,correlation_60pct,52.61925829913655,0.34,0.5311608929904696
57,accuracy_80pct,85.68908279303677,0.82,0.7656521898379327
57,accuracy_70pct,78.52813747808857,0.74,0.6947513457300772
57,accuracy_60pct,79.44404624622385,0.75,0.6127975414747141
57,correlation_70pct,63.6987574645413,0.47,0.7258365649047749
57,correlation_60pct,45.047431110644155,0.26,0.3382721070530536
58,accuracy_80pct,87.32853230187433,0.84,0.8313724270074149
58,accuracy_70pct,80.3459257800316,0.77,0.6463925134075713
58,accuracy_60pct,71.21863761200176,0.67,0.5254888829117689
58,correlation_70pct,53.160895368290326,0.36,0.5691844090809615
58,correlation_60pct,49.83441275311934,0.33,0.42878091284584413
59,accuracy_80pct,90.99868544287361,0.87,0.9304875607967974
59,accuracy_70pct,79.83804831680465,0.75,0.6897960450223997
59,accuracy_60pct,78.82127121640586,0.74,0.6104767455583198
59,correlation_70pct,64.29072607844759,0.49,0.6971415777445679
59,correlation_60pct,53.89836272194091,0.36,0.5797150090833947
60,accuracy_80pct,87.91775296852401,0.85,0.772926682738051
60,accuracy_70pct,84.08318764736755,0.8,0.7678823544456517
60,accuracy_60pct,73.65706468493407,0.67,0.58727356215126
60,correlation_70pct,59.68513904047223,0.44,0.6274091584279491
60,correlation_60pct,54.5687213492548,0.36,0.548238560634624
61,accuracy_80pct,88.03254791373581,0.84,0.850066343625803
61,accuracy_70pct,80.50830432273929,0.75,0.6548632655721817
61,accuracy_60pct,77.95009547713059,0.71,0.6410559892146924
61,correlation_70pct,56.02413092771515,0.35,0.6622440792225404
61,correlation_60pct,54.473554154263034,0.38,0.543374605284401
62,accuracy_80pct,86.55751058505543,0.84,0.6880062603550952
62,accuracy_70pct,79.871602679973,0.75,0.7434305301203065
62,accuracy_60pct,75.60673297781078,0.69,0.58665712871066
62,correlation_70pct,56.5041551650455,0.39,0.5830790081407555
