simulation,grader_type,linear_score,accuracy,spearman
70,accuracy_80pct,93.0,0.82,0.7777781878596183
70,accuracy_70pct,89.75,0.76,0.6233474298687403
70,accuracy_60pct,87.5,0.68,0.5855250161985734
70,correlation_70pct,83.75,0.44,0.5904428033372587
70,correlation_60pct,79.5,0.35,0.5153022426288081
71,accuracy_80pct,93.25,0.85,0.8274658603822247
71,accuracy_70pct,90.5,0.76,0.7210734790091305
71,accuracy_60pct,86.25,0.69,0.5585425925234516
71,correlation_70pct,78.75,0.28,0.6056957064157852
71,correlation_60pct,76.5,0.35,0.40800026314863413
72,accuracy_80pct,92.75,0.85,0.766950332991191
72,accuracy_70pct,91.0,0.79,0.7363775678350644
72,accuracy_60pct,89.5,0.75,0.6750103932973
72,correlation_70pct,83.5,0.42,0.6853587724651421
72,correlation_60pct,79.75,0.38,0.5773699575781204
73,accuracy_80pct,93.75,0.85,0.8184243677762055
73,accuracy_70pct,90.0,0.77,0.6944320258489155
73,accuracy_60pct,87.25,0.7,0.619808266079413
73,correlation_70pct,81.25,0.39,0.6074026695822335
73,correlation_60pct,80.5,0.39,0.5594686122790554
74,accuracy_80pct,90.75,0.81,0.6692563254953675
74,accuracy_70pct,88.75,0.75,0.6461215528243702
74,accuracy_60pct,87.75,0.73,0.5943039863124491
74,correlation_70pct,83.0,0.4,0.7090557137527069
74,correlation_60pct,81.5,0.43,0.5559690154487903
75,accuracy_80pct,95.75,0.87,0.8833545826768767
75,accuracy_70pct,89.0,0.74,0.6232601001399758
75,accuracy_60pct,89.0,0.7,0.7088569795477663
75,correlation_70pct,83.0,0.42,0.6310333759284015
75,correlation_60pct,80.5,0.38,0.6123733462971321
76,accuracy_80pct,95.0,0.86,0.8602015160092755
76,accuracy_70pct,90.0,0.77,0.6782149594812474
76,accuracy_60pct,89.5,0.72,0.6770758969731849
76,correlation_70pct,82.5,0.46,0.540258234085743
76,correlation_60pct,81.0,0.41,0.534034305166609
77,accuracy_80pct,92.25,0.82,0.7762884241851588
77,accuracy_70pct,91.5,0.77,0.7300936596294326
77,accuracy_60pct,89.25,0.71,0.6355241501372703
77,correlation_70pct,78.75,0.3,0.500707181339937
77,correlation_60pct,81.5,0.43,0.5776989352755639
78,accuracy_80pct,94.75,0.88,0.8512005662845519
78,accuracy_70pct,87.0,0.75,0.6176323759343715
78,accuracy_60pct,86.75,0.7,0.6609815535146278
78,correlation_70pct,79.25,0.37,0.5979371546672477
78,correlation_60pct,76.75,0.36,0.4840975885114061
79,accuracy_80pct,92.75,0.83,0.8051471005235149
79,accuracy_70pct,90.0,0.78,0.7255216483293463
79,accuracy_60pct,89.75,0.7,0.7766499750558663
79,correlation_70pct,82.5,0.43,0.6674298602038848
79,correlation_60pct,77.25,0.31,0.4753289138656009
80,accuracy_80pct,95.5,0.89,0.8850585007713919
80,accuracy_70pct,90.5,0.75,0.7441031018392097
80,accuracy_60pct,86.0,0.69,0.5822675943056536
80,correlation_70pct,83.0,0.43,0.6224144163030463
80,correlation_60pct,80.5,0.38,0.5229042767129066
81,accuracy_80pct,91.5,0.85,0.7064802454838454
81,accuracy_70pct,90.25,0.76,0.746478804193693
81,accuracy_60pct,85.5,0.7,0.5385129832421093
81,correlation_70pct,82.5,0.45,0.6693285776205158
81,correlation_60pct,79.0,0.36,0.5380985944921487
82,accuracy_80pct,92.75,0.81,0.7665729526798297
82,accuracy_70pct,90.0,0.72,0.7115009287906521
82,accuracy_60pct,87.75,0.7,0.6130163024776188
82,correlation_70pct,82.5,0.41,0.6559450221830505
82,correlation_60pct,79.75,0.34,0.5918481418057802
83,accuracy_80pct,91.5,0.84,0.7084457156480984
83,accuracy_70pct,88.0,0.74,0.5887792240672928
83,accuracy_60pct,87.75,0.74,0.5723388886022394
83,correlation_70pct,82.5,0.44,0.5876764248573859
83,correlation_60pct,79.5,0.34,0.5228761825945247
84,accuracy_80pct,92.25,0.82,0.7708597678875864
84,accuracy_70pct,90.5,0.79,0.6640870669736488
84,accuracy_60pct,87.25,0.68,0.631608280138936
84,correlation_70pct,80.75,0.39,0.5412249248275502
84,correlation_60pct,82.0,0.42,0.6011810231300709
85,accuracy_80pct,93.5,0.86,0.7603443033357224
85,accuracy_70pct,90.25,0.74,0.6767194683439178
85,accuracy_60pct,87.5,0.7,0.5839167052518677
85,correlation_70pct,82.75,0.44,0.6227568837275602
85,correlation_60pct,81.0,0.44,0.5499314342493183
86,accuracy_80pct,93.25,0.86,0.766777275886207
86,accuracy_70pct,91.0,0.77,0.7704971088914099
86,accuracy_60pct,85.25,0.67,0.5509216301425579
86,correlation_70pct,82.25,0.44,0.5947002329268576
86,correlation_60pct,76.25,0.35,0.42674165479709164
87,accuracy_80pct,93.0,0.84,0.790254200678484
87,accuracy_70pct,89.5,0.77,0.6260471940516966
87,accuracy_60pct,88.0,0.68,0.6651562873026393
87,correlation_70pct,84.5,0.47,0.718067515602072
87,correlation_60pct,79.5,0.4,0.45199111263442243
88,accuracy_80pct,93.25,0.87,0.7931977783423679
88,accuracy_70pct,94.0,0.81,0.8819051362308327
88,accuracy_60pct,87.75,0.68,0.651168024107427
88,correlation_70pct,82.0,0.45,0.5676602437037409
88,correlation_60pct,80.5,0.39,0.5787410493099169
89,accuracy_80pct,92.25,0.85,0.7297889711836189
89,accuracy_70pct,88.0,0.72,0.62435610058423
89,accuracy_60pct,87.75,0.7,0.5930383363696036
89,correlation_70pct,81.5,0.37,0.6240964385051632
89,correlation_60pct,80.25,0.39,0.508029734817077
90,accuracy_80pct,90.25,0.83,0.6740236310776794
90,accuracy_70pct,88.25,0.73,0.6860017504619867
90,accuracy_60pct,89.0,0.73,0.73071326180718
90,correlation_70pct,77.75,0.39,0.5368641449121311
90,correlation_60pct,78.75,0.38,0.5091369481584115
91,accuracy_80pct,93.25,0.87,0.7438956882097459
91,accuracy_70pct,91.75,0.8,0.7614911657445387
91,accuracy_60pct,88.0,0.7,0.6689800152182704
91,correlation_70pct,83.5,0.47,0.6529159568301971
91,correlation_60pct,78.75,0.36,0.5395600797465631
92,accuracy_80pct,95.25,0.87,0.8763318080734711
92,accuracy_70pct,91.5,0.77,0.7692332594153465
92,accuracy_60pct,85.25,0.68,0.5305393536700768
92,correlation_70pct,82.5,0.44,0.6329455706836227
92,correlation_60pct,83.75,0.46,0.6924119280580288
93,accuracy_80pct,92.75,0.85,0.7497537477015066
93,accuracy_70pct,89.0,0.73,0.7024580615920791
93,accuracy_60pct,89.5,0.69,0.7293475249200139
93,correlation_70pct,80.5,0.4,0.5731136012270504
93,correlation_60pct,80.25,0.39,0.5460793630014004
94,accuracy_80pct,94.25,0.84,0.8471652795224991
94,accuracy_70pct,91.0,0.8,0.6508001105758592
94,accuracy_60pct,86.5,0.69,0.494949249283234
94,correlation_70pct,84.0,0.5,0.5692735817469144
94,correlation_60pct,81.25,0.41,0.5463736934252772
95,accuracy_80pct,94.5,0.85,0.8523117318373484
